"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000001&c=00000000000000000000000g&ct=0&ug=2&vs=INTL.44-2-JPN-TJ.A&vo=0&v=H&start=2009&end=2015"
"Tue Jul 31 2018 11:43:30 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,2009,2010,2011,2012,2013,2014,2015
"","Primary Energy","Terajoules"
"","Consumption",""
"","Consumption",""
"","Japan","Terajoules",21697224.584,22810308.558,22092870.546,21619150.447,20632673.18,-,- 
