ELCCC17,ELCCOA17,ELCPVN17,ELCTECOA,ELCTEGEO,ELCTEHYD,ELCTELNG,ELCTENUC,ELCTEOIL,ELCTEPVS,ELCTEWND,ELCWON17,LNGCCS22,PEMFC22,,
0,0,369764.3829,0,2452.8,84989.52,0,28032,0,0,0,109824.12,308764.2361,486184.2547,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,21024,0,0,0,109824.12,306846.6713,502177.7045,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,14016,0,0,0,109824.12,304929.1065,518171.1543,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,7008,0,0,0,109824.12,303011.5416,534164.6041,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,301093.9768,550158.0539,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,299419.6477,558900.268,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,297745.3186,567642.4821,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,296070.9895,576384.6962,,
,,,,,,,,,,,,,,,
0,0,369764.3829,0,2452.8,84989.52,0,0,0,0,0,109824.12,294396.6604,585126.9103,,
,,,,,,,,,,,,,,,
0,0,368491.1314,0,2452.8,84989.52,0,0,0,0,0,109824.12,293010.5154,594854.1918,,
,,,,,,,,,,,,,,,
0,0,365239.6457,0,2452.8,84989.52,0,0,0,0,0,109824.12,292072.1181,606111.9597,,
,,,,,,,,,,,,,,,
0,0,360362.4171,0,2452.8,84989.52,0,0,0,0,0,109824.12,291501.6868,618627.5046,,
,,,,,,,,,,,,,,,
0,0,353046.5742,0,2452.8,84989.52,0,0,0,0,0,109824.12,291483.2044,633029.7149,,
,,,,,,,,,,,,,,,
0,0,345068.5787,0,2452.8,84989.52,0,0,0,0,0,109824.12,291614.5917,647944.2081,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
,,,,,,,,,,,,,,,
0,0,344887.9327,0,2452.8,84989.52,0,0,0,0,0,109824.12,289981.1495,656826.1813,,
