"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000g&c=00000000000000000000000g&ct=0&ug=2&tl_id=3002-A&vs=INTL.26-2-JPN-TJ.A&cy=2015&vo=0&v=H&start=2009&end=2017"
"Tue Jul 31 2018 12:51:00 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Natural Gas","Terajoules"
"","Consumption",""
"","Gross Natural Gas",""
"","Dry Natural Gas",""
"","Japan","Terajoules",4070405.662,4302517.96,4995689.687,5196150.308,5183489.637,5171884.022,-,-,- 
